Country,GDP,Population,GDP per capita
United States,1.94854E+13,325084756,59939
China,1.22377E+13,1421021791,8612
Japan,4.87242E+12,127502725,38214
Germany,3.6932E+12,82658409,44680
India,2.65073E+12,1338676785,1980
United Kingdom,2.63787E+12,66727461,39532
France,2.5825E+12,64842509,39827
Brazil,2.05359E+12,207833823,9881
Italy,1.94384E+12,60673701,32038
Canada,1.64712E+12,36732095,44841
Russia,1.57842E+12,145530082,10846
South Korea,1.53075E+12,51096415,29958
Australia,1.32342E+12,24584620,53831
Spain,1.31431E+12,46647428,28175
Mexico,1.15089E+12,124777324,9224
Indonesia,1.01542E+12,264650963,3837
Turkey,8.51549E+11,81116450,10498
Netherlands,8.30573E+11,17021347,48796
Saudi Arabia,6.86738E+11,33101179,20747
Switzerland,6.78965E+11,8455804,80296
Argentina,6.3743E+11,43937140,14508
Sweden,5.35607E+11,9904896,54075
Poland,5.26466E+11,37953180,13871
Belgium,4.94764E+11,11419748,43325
Thailand,4.55303E+11,69209810,6579
Iran,4.54013E+11,80673883,5628
Austria,4.16836E+11,8819901,47261
Norway,3.99489E+11,5296326,75428
United Arab Emirates,3.82575E+11,9487203,40325
Nigeria,3.75745E+11,190873244,1969
Israel,3.53268E+11,8243848,42852
South Africa,3.48872E+11,57009756,6120
Hong Kong,3.41449E+11,7306322,46733
Ireland,3.3143E+11,4753279,69727
Denmark,3.29866E+11,5732274,57545
Singapore,3.23907E+11,5708041,56746
Malaysia,3.1471E+11,31104646,10118
Colombia,3.14458E+11,48909839,6429
Philippines,3.13595E+11,105172925,2982
Pakistan,3.04952E+11,207906209,1467
Chile,2.77076E+11,18470439,15001
Finland,2.52302E+11,5511371,45778
Bangladesh,2.49724E+11,159685424,1564
Egypt,2.35369E+11,96442591,2441
Vietnam,2.2378E+11,94600648,2366
Portugal,2.19308E+11,10288527,21316
Czech Republic (Czechia),2.15914E+11,10641034,20291
Romania,2.11884E+11,19653969,10781
Peru,2.11389E+11,31444298,6723
New Zealand,2.04139E+11,4702034,43415
Greece,2.03086E+11,10569450,19214
Iraq,1.92061E+11,37552781,5114
Algeria,1.67555E+11,41389189,4048
Qatar,1.66929E+11,2724728,61264
Kazakhstan,1.62887E+11,18080019,9009
Hungary,1.39761E+11,9729823,14364
Angola,1.22124E+11,29816766,4096
Kuwait,1.20126E+11,4056099,29616
Sudan,1.17488E+11,40813397,2879
Ukraine,1.12154E+11,44487709,2521
Morocco,1.09709E+11,35581255,3083
Ecuador,1.04296E+11,16785361,6214
Cuba,96851000000,11339254,8541
Slovakia,95617670260,5447900,17551
Sri Lanka,87357205923,21128032,4135
Ethiopia,80561496134,106399924,757
Kenya,79263075749,50221142,1578
Dominican Republic,75931656815,10513104,7223
Guatemala,75620095538,16914970,4471
Oman,70783875163,4665928,15170
Myanmar,67068745521,53382523,1256
Luxembourg,62316359824,591910,105280
Panama,62283756584,4106769,15166
Ghana,58996776238,29121465,2026
Bulgaria,58220973783,7102444,8197
Costa Rica,57285984448,4949954,11573
Uruguay,56156972158,3436641,16341
Croatia,55213087271,4182857,13200
Belarus,54456465473,9450231,5762
Lebanon,53576985687,6819373,7857
Tanzania,53320625959,54660339,975
Macao,50361201096,622585,80890
Uzbekistan,49677172714,31959785,1554
Slovenia,48769655479,2076394,23488
Lithuania,47544459559,2845414,16709
Serbia,41431648801,8829628,4692
Azerbaijan,40747792238,9845320,4139
Jordan,40068308451,9785843,4095
Tunisia,39952095561,11433443,3494
Paraguay,39667400816,6867061,5776
Libya,38107728083,6580724,5791
Turkmenistan,37926285714,5757667,6587
DR Congo,37642482562,81398764,462
Bolivia,37508642113,11192855,3351
C“te d'Ivoire,37353276059,24437470,1529
Bahrain,35432686170,1494076,23715
Cameroon,34922782311,24566073,1422
Yemen,31267675216,27834819,1123
Latvia,30463302414,1951097,15613
Estonia,26611651599,1319390,20170
Uganda,25995031850,41166588,631
Zambia,25868142073,16853599,1535
Nepal,24880266905,27632681,900
El Salvador,24805439600,6388126,3883
Iceland,24488467010,334393,73233
